HIDROREY INDUSTRIAL,,,,,,,,,,,,,,,,,,,
Fecha:,,15/12/2025,,,,Catálogo de Productos,,,,,,,,,,Página:,,1,
Hora:,,14:23:05,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Clase,,,Clave,Nombre,Atributo,,Unidad,Grupo,,Subgrupo,Ma. Lo.,D. Vi.,,Tipo de Producto,,,,,Clave SAT
OBS,,,002428,TERMOMETRO MEDIDOR TEMPERATURA,,,PIEZA,,,,Lote/Serie/Pedim,,,X_OBSOLETOS,,,,,
,"MEDIDOR DE TEMPERATURA PARA HIDROLAVADORA, CARATULA TIPO MANOMETRO 3000 PSI",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ALTA PRESI,,,002846,KIT REPUESTO BYPASS AL600,,,JUEGO,ACCESORIOS,,BYPASS,,,,X_OBSOLETOS,,,,,
,,,,,,,,,,,,,,,,,,,
POTENCIA,,,00318ES1B184TCN,MOTOR 3HP WEG 1F 220V 1750 RPM,,,PIEZA,MOTORES,,ELECTRICO,,,,MOTORES,,,,26101100,
,"BIFASICO 220V BRIDA 184TC 
14767919",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
POTENCIA,,,00318ES1E184TC,MOTOR 3HP BIFASICO 1800RPM BRIDAC,,,PIEZA,MOTORES,,ELECTRICO,,,,X_OBSOLETOS,,,,,
,,,,,,,,,,,,,,,,,,,
POTENCIA,,,00318ET3EM182TCW,MOTOR 3HP WEG 3F BRIDA C 1740 RPM,,,PIEZA,MOTORES,,ELECTRICO,,,,MOTORES,,,,,
,"TRIFASICO 230 / 460 volts BRIDA 182TC
12860482",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
POTENCIA,,,00318ET3EM182TW,MOTOR 3HP WEG  4 POLOS 1760RPM STD,,,PIEZA,MOTORES,,ELECTRICO,,,,MOTORES,,,,,
,"Potencia 3.0 HP
RPM del motor 1760 RPM
Voltaje Nominal 208-230/460 V
Fases del Motor Trifásico
Carcasa 182 T",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
OBS,,,003223,ESPIGA BRONCE 1/2 MPT X 3/4 BARB,,,PIEZA,,,,,,,X_OBSOLETOS,,,,,
,,,,,,,,,,,,,,,,,,,
OBS,,,003357,CODO 3/8M X 1/4F ACERO 5000 PSI,,,PIEZA,,,,Lote/Serie/Pedim,,,X_OBSOLETOS,,,,,
,CODO 3/8M X 1/4F ACERO 5000 PSI,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
OBS,,,003885,VALVULA JETTER EZ GP,,,PIEZA,,,,,,,X_OBSOLETOS,,,,,
,,,,,,,,,,,,,,,,,,,
OBS,,,003915,SWITCH TEMPERATURA 176 GRADOS FARENHEIT,,,PIEZA,,,,Lote/Serie/Pedim,,,X_OBSOLETOS,,,,,
,"SWITH TEMPERATURA 176 GRADOS FARENHEIT  1/2""",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ADMON,,,0049,BALASTRO ENC INST 2X39 127V EI-239-127,,,-,MTO. OFICI,,,,,,CONSUMIBLES,,,,,
,,,,,,,,,,,,,,,,,,,
LIMPIEZA,,,00500-10,"KEY, WOODRUFF, 0.19 0.75 [ASA0606]",,,PIEZA,TENNANT,,,,,,REFACCIONES,,,,47121600,
,,,,,,,,,,,,,,,,,,,
POTENCIA,,,00518EP3E184T/C,OBSOLETO MOTOR 5HP  3F BRIDA C 1745 RPM,,,PIEZA,MOTORES,,ELECTRICO,,,,X_OBSOLETOS,,,,,
,OBSOLETO NO USAR,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
POTENCIA,,,00518ES1B184TC,OBSOLETO MOTOR 5HP WEG 1F 220V 1750 RPM,,,PIEZA,MOTORES,,ELECTRICO,,,,X_OBSOLETOS,,,,26101115,
,"OBSOLETO VER CODIGO 00318ES1B184TCN
BIFASICO 220V (1F) BRIDA 184TC
12202557",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
POTENCIA,,,00518ES1E184TCN,MOTOR WEG 5HP 1F 4P 230V 184TC,,,PIEZA,MOTORES,,ELECTRICO,,,,MOTORES,,,,26101115,
,"5HP BIFASICO BRIDAC 
14767926",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
